id,name,type1,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
1,Bulbasaur,Grass,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,Grass,525,80,82,83,100,100,80,1,FALSE
4,Mega Venusaur,Grass,625,80,100,123,122,120,80,1,FALSE
5,Gigantamax Venusaur,Grass,525,80,82,83,100,100,80,1,FALSE
6,Charmander,Fire,309,39,52,43,60,50,65,1,FALSE
7,Charmeleon,Fire,405,58,64,58,80,65,80,1,FALSE
8,Charizard,Fire,534,78,84,78,109,85,100,1,FALSE
9,Mega Charizard X,Fire,634,78,130,111,130,85,100,1,FALSE
10,Mega Charizard Y,Fire,634,78,104,78,159,115,100,1,FALSE
11,Gigantamax Charizard,Fire,534,78,84,78,109,85,100,1,FALSE
12,Squirtle,Water,314,44,48,65,50,64,43,1,FALSE
13,Wartortle,Water,405,59,63,80,65,80,58,1,FALSE
14,Blastoise,Water,530,79,83,100,85,105,78,1,FALSE
15,Mega Blastoise,Water,630,79,103,120,135,115,78,1,FALSE
16,Gigantamax Blasoise,Blastoise,530,79,83,100,85,105,78,1,FALSE
17,Caterpie,Bug,195,45,30,35,20,20,45,1,FALSE
18,Metapod,Bug,205,50,20,55,25,25,30,1,FALSE
19,Butterfree,Bug,395,60,45,50,90,80,70,1,FALSE
20,Gigantamax Butterfree,Bug,395,60,45,50,90,80,70,1,FALSE
21,Weedle,Bug,195,40,35,30,20,20,50,1,FALSE
22,Kakuna,Bug,205,45,25,50,25,25,35,1,FALSE
23,Beedrill,Bug,395,65,90,40,45,80,75,1,FALSE
24,Mega Beedrill,Bug,495,65,150,40,15,80,145,1,FALSE
25,Pidgey,Normal,251,40,45,40,35,35,56,1,FALSE
26,Pidgeotto,Normal,349,63,60,55,50,50,71,1,FALSE
27,Pidgeot,Normal,479,83,80,75,70,70,101,1,FALSE
28,Mega Pidgeot,Normal,579,83,80,80,135,80,121,1,FALSE
29,Rattata,Normal,253,30,56,35,25,35,72,1,FALSE
30,Alolan Rattata,Dark,253,30,56,35,25,35,72,7,FALSE
31,Raticate,Normal,413,55,81,60,50,70,97,1,FALSE
32,Alolan Raticate,Dark,413,75,71,70,40,80,77,7,FALSE
33,Spearow,Normal,262,40,60,30,31,31,70,1,FALSE
34,Fearow,Normal,442,65,90,65,61,61,100,1,FALSE
35,Ekans,Poison,288,35,60,44,40,54,55,1,FALSE
36,Arbok,Poison,438,60,85,69,65,79,80,1,FALSE
37,Pikachu,Electric,320,35,55,40,50,50,90,1,FALSE
38,Gigantamax Pikachu,Electric,320,35,55,40,50,50,90,1,FALSE
39,Raichu,Electric,485,60,90,55,90,80,110,1,FALSE
40,Alolan Raichu,Electric,485,60,85,50,95,85,110,7,FALSE
